order_id,weather,zone,traffic_level
70283,Heavy Rain,Whitefield,5
70284,Storm,Indiranagar,1
70285,Clear,HSR,1
70286,Storm,Koramangala,4
70287,Light Rain,Whitefield,4
70288,Light Rain,BTM,1
70289,Heavy Rain,Koramangala,4
70290,Clear,HSR,5
70291,Heavy Rain,Whitefield,1
70292,Storm,HSR,4
70293,Clear,BTM,2
70294,Clear,Indiranagar,5
70295,Heavy Rain,HSR,5
70296,Storm,Indiranagar,3
70297,Storm,Indiranagar,5
70298,Storm,HSR,4
70299,Heavy Rain,Koramangala,1
70300,Clear,Indiranagar,3
70301,Clear,Koramangala,2
70302,Heavy Rain,HSR,4
70303,Storm,Indiranagar,2
70304,Clear,Whitefield,4
70305,Light Rain,Indiranagar,1
70306,Heavy Rain,Indiranagar,1
70307,Light Rain,BTM,2
70308,Light Rain,Whitefield,1
70309,Storm,HSR,1
70310,Clear,HSR,3
70311,Storm,Koramangala,1
70312,Storm,BTM,5
70313,Light Rain,Koramangala,4
70314,Heavy Rain,Indiranagar,1
70315,Clear,BTM,1
70316,Light Rain,Whitefield,5
70317,Storm,Whitefield,3
70318,Light Rain,Whitefield,2
70319,Heavy Rain,BTM,4
70320,Clear,Whitefield,3
70321,Storm,Koramangala,4
70322,Clear,HSR,4
70323,Clear,BTM,3
70324,Light Rain,BTM,2
70325,Storm,Indiranagar,3
70326,Light Rain,Whitefield,2
70327,Clear,Whitefield,3
70328,Heavy Rain,Whitefield,4
70329,Light Rain,Whitefield,2
70330,Storm,BTM,5
70331,Storm,BTM,1
70332,Clear,Koramangala,3
70333,Clear,Whitefield,4
70334,Heavy Rain,Koramangala,5
70335,Light Rain,Indiranagar,4
70336,Clear,BTM,5
70337,Storm,Koramangala,5
70338,Heavy Rain,Koramangala,4
70339,Heavy Rain,HSR,2
70340,Light Rain,Koramangala,2
70341,Light Rain,HSR,5
70342,Light Rain,Whitefield,3
70343,Heavy Rain,Indiranagar,2
70344,Clear,Whitefield,3
70345,Clear,BTM,1
70346,Heavy Rain,Koramangala,3
70347,Clear,BTM,5
70348,Light Rain,Whitefield,5
70349,Storm,Indiranagar,5
70350,Light Rain,BTM,3
70351,Storm,Indiranagar,2
70352,Clear,BTM,3
70353,Light Rain,Indiranagar,5
70354,Clear,HSR,1
70355,Light Rain,Indiranagar,1
70356,Clear,BTM,5
70357,Clear,Koramangala,5
70358,Heavy Rain,Whitefield,5
70359,Heavy Rain,BTM,3
70360,Clear,HSR,5
70361,Storm,Whitefield,4
70362,Light Rain,HSR,3
70363,Storm,HSR,4
70364,Light Rain,BTM,2
70365,Clear,Indiranagar,1
70366,Clear,Whitefield,3
70367,Light Rain,BTM,5
70368,Clear,Whitefield,4
70369,Clear,HSR,1
70370,Heavy Rain,Indiranagar,3
70371,Heavy Rain,HSR,5
70372,Storm,Koramangala,4
70373,Heavy Rain,BTM,2
70374,Heavy Rain,Indiranagar,4
70375,Heavy Rain,Whitefield,2
70376,Light Rain,Koramangala,5
70377,Storm,Whitefield,1
70378,Heavy Rain,Whitefield,2
70379,Light Rain,Indiranagar,5
70380,Storm,BTM,1
70381,Heavy Rain,BTM,4
70382,Clear,Koramangala,2
70383,Clear,HSR,4
70384,Clear,HSR,1
70385,Clear,HSR,4
70386,Light Rain,HSR,3
70387,Heavy Rain,HSR,2
70388,Heavy Rain,Koramangala,3
70389,Light Rain,Indiranagar,1
70390,Clear,HSR,5
70391,Light Rain,BTM,4
70392,Clear,Indiranagar,3
70393,Light Rain,Indiranagar,3
70394,Clear,HSR,3
70395,Heavy Rain,HSR,2
70396,Heavy Rain,BTM,5
70397,Clear,HSR,4
70398,Clear,Whitefield,1
70399,Light Rain,Koramangala,1
70400,Light Rain,BTM,5
70401,Clear,Whitefield,3
70402,Clear,BTM,3
70403,Clear,Indiranagar,3
70404,Heavy Rain,BTM,2
70405,Storm,Whitefield,2
70406,Clear,HSR,5
70407,Light Rain,Indiranagar,3
70408,Storm,HSR,1
70409,Clear,BTM,1
70410,Storm,Whitefield,4
70411,Clear,Indiranagar,4
70412,Storm,Whitefield,1
70413,Clear,Koramangala,4
70414,Light Rain,Whitefield,1
70415,Heavy Rain,HSR,1
70416,Light Rain,Koramangala,1
70417,Storm,Whitefield,3
70418,Storm,HSR,5
70419,Light Rain,Whitefield,3
70420,Heavy Rain,HSR,5
70421,Heavy Rain,BTM,2
70422,Storm,Koramangala,1
70423,Storm,Whitefield,1
70424,Heavy Rain,HSR,1
70425,Clear,Koramangala,2
70426,Light Rain,Indiranagar,3
70427,Clear,Indiranagar,5
70428,Storm,BTM,3
70429,Storm,Koramangala,4
70430,Clear,BTM,2
70431,Storm,Whitefield,3
70432,Clear,Koramangala,5
70433,Clear,Whitefield,3
70434,Heavy Rain,Koramangala,4
70435,Heavy Rain,HSR,5
70436,Heavy Rain,HSR,2
70437,Light Rain,BTM,5
70438,Storm,BTM,3
70439,Clear,Koramangala,4
70440,Storm,Whitefield,3
70441,Storm,Koramangala,2
70442,Light Rain,HSR,2
70443,Heavy Rain,Whitefield,4
70444,Clear,Koramangala,1
70445,Light Rain,BTM,5
70446,Clear,Koramangala,5
70447,Heavy Rain,Indiranagar,3
70448,Light Rain,BTM,5
70449,Heavy Rain,Whitefield,2
70450,Storm,Whitefield,1
70451,Heavy Rain,Indiranagar,2
70452,Storm,Indiranagar,5
70453,Light Rain,Koramangala,3
70454,Heavy Rain,Indiranagar,2
70455,Heavy Rain,Koramangala,2
70456,Heavy Rain,BTM,3
70457,Heavy Rain,Koramangala,5
70458,Clear,Koramangala,3
70459,Clear,Indiranagar,2
70460,Storm,BTM,3
70461,Light Rain,Indiranagar,3
70462,Clear,Whitefield,1
70463,Light Rain,BTM,5
70464,Clear,Whitefield,2
70465,Clear,Indiranagar,2
70466,Clear,Indiranagar,5
70467,Storm,Indiranagar,5
70468,Heavy Rain,BTM,1
70469,Light Rain,Indiranagar,1
70470,Heavy Rain,BTM,1
70471,Clear,Koramangala,3
70472,Storm,BTM,5
70473,Clear,Koramangala,1
70474,Clear,Whitefield,4
70475,Storm,Koramangala,3
70476,Clear,Indiranagar,3
70477,Heavy Rain,BTM,1
70478,Light Rain,BTM,2
70479,Storm,Koramangala,5
70480,Clear,Koramangala,5
70481,Storm,BTM,3
70482,Heavy Rain,Whitefield,2
70483,Heavy Rain,HSR,4
70484,Heavy Rain,BTM,2
70485,Heavy Rain,HSR,3
70486,Light Rain,Indiranagar,1
70487,Clear,Koramangala,3
70488,Clear,HSR,5
70489,Heavy Rain,Koramangala,3
70490,Light Rain,HSR,2
70491,Light Rain,Koramangala,2
70492,Heavy Rain,BTM,5
70493,Storm,Whitefield,2
70494,Clear,BTM,1
70495,Light Rain,Koramangala,3
70496,Clear,HSR,2
70497,Clear,Indiranagar,5
70498,Light Rain,Koramangala,4
70499,Heavy Rain,Whitefield,3
70500,Storm,BTM,2
70501,Heavy Rain,Whitefield,4
70502,Storm,Indiranagar,4
70503,Light Rain,HSR,5
70504,Light Rain,Whitefield,4
70505,Clear,BTM,4
70506,Heavy Rain,HSR,4
70507,Storm,Whitefield,1
70508,Clear,HSR,4
70509,Clear,BTM,4
70510,Light Rain,BTM,3
70511,Heavy Rain,HSR,1
70512,Heavy Rain,Whitefield,5
70513,Light Rain,BTM,5
70514,Storm,Indiranagar,5
70515,Storm,HSR,5
70516,Clear,HSR,2
70517,Light Rain,HSR,5
70518,Heavy Rain,BTM,4
70519,Clear,Whitefield,1
70520,Clear,Indiranagar,4
70521,Storm,HSR,4
70522,Heavy Rain,BTM,1
70523,Storm,Koramangala,1
70524,Light Rain,Indiranagar,4
70525,Clear,HSR,4
70526,Clear,HSR,1
70527,Light Rain,Whitefield,1
70528,Heavy Rain,BTM,2
70529,Light Rain,Indiranagar,1
70530,Storm,HSR,2
70531,Storm,Indiranagar,5
70532,Storm,Whitefield,5
70533,Clear,Koramangala,4
70534,Storm,Koramangala,4
70535,Light Rain,HSR,1
70536,Light Rain,BTM,5
70537,Light Rain,Whitefield,3
70538,Clear,Indiranagar,3
70539,Storm,Indiranagar,4
70540,Heavy Rain,Koramangala,1
70541,Light Rain,Koramangala,1
70542,Light Rain,Whitefield,4
70543,Heavy Rain,BTM,2
70544,Heavy Rain,HSR,4
70545,Light Rain,Koramangala,1
70546,Light Rain,BTM,5
70547,Storm,BTM,1
70548,Clear,HSR,5
70549,Light Rain,BTM,3
70550,Heavy Rain,Whitefield,5
70551,Heavy Rain,BTM,5
70552,Clear,Indiranagar,5
70553,Storm,Indiranagar,2
70554,Storm,Koramangala,1
70555,Storm,BTM,2
70556,Heavy Rain,HSR,1
70557,Heavy Rain,Whitefield,3
70558,Storm,BTM,3
70559,Clear,Koramangala,5
70560,Clear,HSR,3
70561,Clear,Koramangala,2
70562,Clear,Indiranagar,4
70563,Clear,HSR,4
70564,Storm,Indiranagar,3
70565,Storm,Indiranagar,5
70566,Storm,Koramangala,5
70567,Clear,Whitefield,1
70568,Storm,HSR,1
70569,Storm,Koramangala,1
70570,Clear,BTM,3
70571,Light Rain,BTM,4
70572,Light Rain,Indiranagar,2
70573,Storm,BTM,1
70574,Heavy Rain,Whitefield,4
70575,Light Rain,Koramangala,5
70576,Heavy Rain,Koramangala,5
70577,Heavy Rain,Whitefield,3
70578,Heavy Rain,Whitefield,5
70579,Storm,Indiranagar,3
70580,Heavy Rain,BTM,3
70581,Heavy Rain,Koramangala,1
70582,Clear,Whitefield,1
70583,Storm,BTM,2
70584,Light Rain,BTM,2
70585,Storm,Koramangala,2
70586,Light Rain,Whitefield,5
70587,Clear,HSR,5
70588,Heavy Rain,HSR,1
70589,Clear,Whitefield,5
70590,Light Rain,BTM,3
70591,Heavy Rain,HSR,4
70592,Clear,BTM,5
70593,Storm,BTM,2
70594,Storm,BTM,4
70595,Storm,HSR,3
70596,Clear,Indiranagar,2
70597,Clear,Koramangala,2
70598,Heavy Rain,Koramangala,3
70599,Light Rain,Koramangala,4
70600,Heavy Rain,HSR,3
70601,Heavy Rain,Indiranagar,3
70602,Light Rain,Whitefield,5
70603,Clear,HSR,2
70604,Light Rain,BTM,2
70605,Heavy Rain,Koramangala,1
70606,Storm,BTM,1
70607,Clear,HSR,5
70608,Light Rain,Koramangala,3
70609,Heavy Rain,Indiranagar,2
70610,Heavy Rain,Koramangala,3
70611,Heavy Rain,BTM,4
70612,Heavy Rain,Indiranagar,4
70613,Light Rain,BTM,4
70614,Storm,Koramangala,3
70615,Storm,Koramangala,1
70616,Heavy Rain,Koramangala,5
70617,Clear,Koramangala,4
70618,Heavy Rain,Whitefield,5
70619,Heavy Rain,HSR,2
70620,Storm,Whitefield,3
70621,Clear,HSR,1
70622,Storm,BTM,2
70623,Clear,Koramangala,2
70624,Heavy Rain,HSR,5
70625,Clear,Indiranagar,5
70626,Heavy Rain,Whitefield,5
70627,Clear,Whitefield,4
70628,Storm,Indiranagar,2
70629,Heavy Rain,HSR,3
70630,Light Rain,Indiranagar,5
70631,Heavy Rain,Whitefield,2
70632,Clear,Koramangala,2
70633,Heavy Rain,Indiranagar,5
70634,Storm,BTM,4
70635,Clear,Whitefield,1
70636,Heavy Rain,Koramangala,4
70637,Clear,HSR,2
70638,Clear,BTM,5
70639,Clear,BTM,5
70640,Clear,Whitefield,3
70641,Storm,Indiranagar,3
70642,Heavy Rain,HSR,2
70643,Storm,BTM,2
70644,Light Rain,BTM,1
70645,Clear,Whitefield,4
70646,Storm,Whitefield,3
70647,Light Rain,Indiranagar,3
70648,Storm,BTM,1
70649,Clear,Indiranagar,4
70650,Storm,BTM,3
70651,Light Rain,Indiranagar,4
70652,Heavy Rain,Whitefield,3
70653,Storm,Indiranagar,1
70654,Light Rain,Koramangala,2
70655,Light Rain,Whitefield,5
70656,Storm,Indiranagar,2
70657,Storm,BTM,4
70658,Clear,Indiranagar,5
70659,Heavy Rain,Indiranagar,1
70660,Storm,Indiranagar,2
70661,Heavy Rain,Whitefield,5
70662,Storm,HSR,2
70663,Clear,BTM,2
70664,Storm,HSR,2
70665,Storm,Koramangala,5
70666,Light Rain,Whitefield,3
70667,Heavy Rain,HSR,5
70668,Heavy Rain,Indiranagar,5
70669,Clear,Koramangala,2
70670,Storm,Whitefield,4
70671,Light Rain,Koramangala,5
70672,Storm,BTM,2
70673,Clear,Whitefield,2
70674,Light Rain,HSR,5
70675,Clear,Indiranagar,3
70676,Clear,Whitefield,4
70677,Light Rain,HSR,3
70678,Light Rain,HSR,3
70679,Clear,Koramangala,3
70680,Clear,Indiranagar,1
70681,Clear,HSR,2
70682,Heavy Rain,HSR,2
70683,Heavy Rain,BTM,2
70684,Storm,BTM,5
70685,Storm,Indiranagar,5
70686,Heavy Rain,Whitefield,5
70687,Heavy Rain,Whitefield,3
70688,Heavy Rain,Koramangala,3
70689,Heavy Rain,HSR,5
70690,Heavy Rain,BTM,1
70691,Heavy Rain,Indiranagar,2
70692,Clear,Indiranagar,1
70693,Clear,HSR,3
70694,Storm,Koramangala,4
70695,Light Rain,Whitefield,4
70696,Heavy Rain,Whitefield,1
70697,Clear,Koramangala,3
70698,Storm,Koramangala,2
70699,Heavy Rain,Koramangala,2
70700,Clear,Whitefield,1
70701,Clear,Whitefield,5
70702,Light Rain,Whitefield,4
70703,Storm,Indiranagar,1
70704,Light Rain,Koramangala,3
70705,Light Rain,Indiranagar,2
70706,Heavy Rain,HSR,1
70707,Light Rain,Indiranagar,1
70708,Light Rain,Koramangala,5
70709,Heavy Rain,Indiranagar,4
70710,Storm,Whitefield,4
70711,Heavy Rain,Whitefield,3
70712,Light Rain,Koramangala,3
70713,Clear,BTM,3
70714,Clear,Indiranagar,1
70715,Clear,Whitefield,4
70716,Clear,BTM,4
70717,Clear,BTM,3
70718,Light Rain,Koramangala,4
70719,Heavy Rain,Indiranagar,3
70720,Heavy Rain,Koramangala,5
70721,Clear,Indiranagar,4
70722,Heavy Rain,HSR,4
70723,Clear,Whitefield,4
70724,Heavy Rain,HSR,1
70725,Light Rain,Koramangala,1
70726,Light Rain,Indiranagar,1
70727,Clear,Indiranagar,1
70728,Storm,Whitefield,5
70729,Heavy Rain,Indiranagar,3
70730,Storm,Indiranagar,3
70731,Light Rain,Koramangala,4
70732,Heavy Rain,BTM,1
70733,Storm,Koramangala,2
70734,Light Rain,BTM,2
70735,Light Rain,Whitefield,3
70736,Clear,Indiranagar,3
70737,Light Rain,Koramangala,3
70738,Storm,Koramangala,4
70739,Clear,HSR,1
70740,Storm,HSR,5
70741,Storm,Koramangala,3
70742,Storm,Indiranagar,1
70743,Clear,Indiranagar,1
70744,Heavy Rain,Koramangala,2
70745,Heavy Rain,Indiranagar,1
70746,Storm,Indiranagar,1
70747,Storm,HSR,4
70748,Clear,Whitefield,3
70749,Heavy Rain,BTM,2
70750,Storm,Indiranagar,5
70751,Light Rain,Indiranagar,1
70752,Clear,Whitefield,5
70753,Clear,HSR,2
70754,Light Rain,BTM,3
70755,Heavy Rain,BTM,2
70756,Light Rain,Whitefield,4
70757,Light Rain,HSR,4
70758,Light Rain,HSR,1
70759,Heavy Rain,Indiranagar,1
70760,Clear,Whitefield,3
70761,Storm,BTM,1
70762,Heavy Rain,HSR,2
70763,Clear,Koramangala,4
70764,Heavy Rain,HSR,4
70765,Heavy Rain,Indiranagar,4
70766,Storm,HSR,1
70767,Heavy Rain,Koramangala,5
70768,Heavy Rain,HSR,2
70769,Light Rain,BTM,4
70770,Light Rain,Indiranagar,1
70771,Storm,HSR,5
70772,Heavy Rain,BTM,3
70773,Heavy Rain,Whitefield,2
70774,Storm,Indiranagar,4
70775,Clear,HSR,3
70776,Light Rain,BTM,2
70777,Heavy Rain,Koramangala,1
70778,Light Rain,Koramangala,4
70779,Storm,HSR,3
70780,Light Rain,Indiranagar,3
70781,Light Rain,Whitefield,3
70782,Storm,HSR,1
70783,Clear,Koramangala,4
70784,Heavy Rain,Indiranagar,2
70785,Storm,Whitefield,5
70786,Clear,Whitefield,1
70787,Light Rain,HSR,4
70788,Clear,Whitefield,2
70789,Storm,Koramangala,2
70790,Light Rain,BTM,5
70791,Clear,Whitefield,3
70792,Light Rain,Whitefield,2
70793,Storm,HSR,1
70794,Heavy Rain,HSR,5
70795,Heavy Rain,Indiranagar,4
70796,Light Rain,Whitefield,2
70797,Light Rain,Koramangala,1
70798,Heavy Rain,HSR,3
70799,Clear,HSR,1
70800,Heavy Rain,HSR,3
70801,Clear,BTM,3
70802,Storm,BTM,5
70803,Light Rain,BTM,4
70804,Heavy Rain,HSR,2
70805,Light Rain,BTM,2
70806,Storm,Whitefield,1
70807,Heavy Rain,Indiranagar,5
70808,Clear,Koramangala,1
70809,Heavy Rain,Indiranagar,2
70810,Clear,Indiranagar,4
70811,Storm,Koramangala,5
70812,Clear,BTM,5
70813,Storm,Koramangala,5
70814,Light Rain,HSR,1
70815,Storm,BTM,5
70816,Clear,HSR,2
70817,Storm,HSR,4
70818,Storm,HSR,5
70819,Heavy Rain,HSR,4
70820,Heavy Rain,BTM,5
70821,Clear,Koramangala,4
70822,Light Rain,Indiranagar,4
70823,Light Rain,Indiranagar,2
70824,Clear,BTM,5
70825,Heavy Rain,Whitefield,2
70826,Light Rain,HSR,2
70827,Light Rain,Koramangala,3
70828,Clear,BTM,4
70829,Clear,Whitefield,5
70830,Light Rain,BTM,4
70831,Storm,Koramangala,5
70832,Clear,Indiranagar,4
70833,Clear,Indiranagar,5
70834,Storm,BTM,5
70835,Clear,Whitefield,4
70836,Storm,BTM,3
70837,Heavy Rain,HSR,1
70838,Storm,Koramangala,2
70839,Clear,Whitefield,2
70840,Clear,Indiranagar,5
70841,Light Rain,Koramangala,1
70842,Light Rain,Whitefield,3
70843,Clear,Whitefield,5
70844,Light Rain,Indiranagar,3
70845,Heavy Rain,Whitefield,2
70846,Clear,Indiranagar,3
70847,Heavy Rain,HSR,2
70848,Storm,BTM,4
70849,Clear,HSR,4
70850,Heavy Rain,Indiranagar,2
70851,Storm,Koramangala,1
70852,Light Rain,Koramangala,5
70853,Heavy Rain,Koramangala,2
70854,Heavy Rain,BTM,1
70855,Storm,HSR,4
70856,Light Rain,Koramangala,2
70857,Heavy Rain,BTM,4
70858,Light Rain,Indiranagar,1
70859,Storm,Koramangala,5
70860,Storm,Indiranagar,1
70861,Light Rain,Whitefield,5
70862,Heavy Rain,Whitefield,2
70863,Heavy Rain,Indiranagar,2
70864,Storm,Koramangala,5
70865,Storm,Whitefield,3
70866,Light Rain,HSR,1
70867,Storm,HSR,4
70868,Clear,BTM,2
70869,Storm,BTM,3
70870,Clear,HSR,5
70871,Light Rain,BTM,5
70872,Heavy Rain,Whitefield,5
70873,Heavy Rain,Whitefield,5
70874,Clear,HSR,4
70875,Storm,Whitefield,1
70876,Heavy Rain,Indiranagar,5
70877,Clear,BTM,5
