order_id,customer_id,order_time,prep_time_est_mins,est_prep_to_delivery_mins,total_amount,order_status
70115,8145,"Wednesday, September 11, 2024, 1:49:00 AM",35,72,153,Successful
70116,7936,"Sunday, July 14, 2024, 2:07:00 AM",24,54,877,Successful
70117,5698,"Wednesday, August 21, 2024, 5:00:00 AM",24,66,486,Successful
70118,8082,"Monday, August 26, 2024, 5:12:00 AM",26,57,386,Successful
70119,2896,"Wednesday, December 4, 2024, 5:02:00 AM",32,65,1104,Returned
70120,4707,"Thursday, March 28, 2024, 11:54:00 AM",34,70,627,Cancelled
70121,3145,"Sunday, March 10, 2024, 11:03:00 PM",23,57,378,Successful
70122,7571,"Saturday, October 12, 2024, 5:28:00 PM",20,62,737,Returned
70123,3035,"Sunday, July 7, 2024, 7:35:00 PM",22,51,1037,Cancelled
70124,2944,"Saturday, December 7, 2024, 12:42:00 AM",21,50,697,Successful
70125,6796,"Monday, November 18, 2024, 4:07:00 PM",29,55,588,Successful
70126,4990,"Sunday, February 18, 2024, 3:37:00 AM",36,79,988,Successful
70127,4742,"Saturday, December 21, 2024, 4:27:00 PM",26,65,178,Successful
70128,1049,"Sunday, October 20, 2024, 3:31:00 PM",38,76,349,Successful
70129,3532,"Sunday, December 29, 2024, 1:56:00 AM",20,63,194,Successful
70130,1080,"Thursday, August 8, 2024, 3:06:00 AM",28,59,910,Successful
70131,3725,"Sunday, November 24, 2024, 7:28:00 PM",28,62,318,Successful
70132,5721,"Friday, February 16, 2024, 2:21:00 AM",24,54,605,Successful
70133,6357,"Friday, February 23, 2024, 8:47:00 PM",26,71,780,Successful
70134,7651,"Saturday, October 5, 2024, 10:26:00 AM",26,66,986,Successful
70135,6677,"Sunday, June 2, 2024, 10:48:00 PM",35,74,227,Successful
70136,5474,"Monday, July 22, 2024, 1:01:00 AM",30,71,324,Successful
70137,6643,"Saturday, May 25, 2024, 10:35:00 PM",35,56,602,Successful
70138,2155,"Wednesday, September 4, 2024, 1:02:00 AM",29,64,990,Successful
70139,8647,"Wednesday, June 12, 2024, 5:22:00 AM",32,65,1065,Successful
70140,4810,"Saturday, January 20, 2024, 1:30:00 AM",36,80,785,Successful
70141,8750,"Saturday, August 17, 2024, 2:29:00 PM",40,85,491,Successful
70142,4920,"Friday, November 15, 2024, 9:26:00 PM",26,58,933,Successful
70143,1205,"Tuesday, June 4, 2024, 2:34:00 PM",38,79,736,Successful
70144,4143,"Thursday, January 11, 2024, 4:18:00 AM",33,60,875,Successful
70145,2968,"Tuesday, October 1, 2024, 4:28:00 PM",34,58,905,Cancelled
70146,6850,"Friday, February 2, 2024, 3:01:00 PM",37,75,245,Successful
70147,1851,"Tuesday, November 12, 2024, 10:02:00 AM",22,61,717,Successful
70148,5877,"Monday, March 18, 2024, 11:45:00 AM",30,61,827,Successful
70149,3258,"Friday, May 24, 2024, 3:30:00 AM",32,76,641,Successful
70150,8734,"Saturday, August 10, 2024, 1:53:00 AM",36,77,1084,Successful
70151,3440,"Friday, April 19, 2024, 2:42:00 AM",23,44,229,Successful
70152,2946,"Thursday, October 31, 2024, 2:04:00 AM",26,52,223,Successful
70153,2965,"Sunday, July 28, 2024, 3:28:00 AM",32,68,1104,Successful
70154,8393,"Wednesday, March 6, 2024, 2:42:00 AM",24,56,273,Successful
70155,8299,"Thursday, February 15, 2024, 4:46:00 AM",36,80,494,Successful
70156,2369,"Wednesday, June 5, 2024, 9:58:00 PM",31,70,1131,Successful
70157,7200,"Wednesday, June 19, 2024, 11:46:00 AM",28,66,532,Successful
70158,1155,"Sunday, June 23, 2024, 10:42:00 AM",27,54,718,Returned
70159,2983,"Sunday, May 19, 2024, 3:28:00 PM",38,81,285,Successful
70160,7934,"Monday, February 5, 2024, 4:37:00 AM",26,65,539,Successful
70161,4622,"Tuesday, May 7, 2024, 6:53:00 PM",20,60,949,Successful
70162,8159,"Sunday, May 5, 2024, 12:44:00 AM",26,60,158,Successful
70163,8837,"Monday, March 25, 2024, 3:13:00 AM",40,65,185,Returned
70164,7419,"Wednesday, June 26, 2024, 3:37:00 AM",31,75,908,Successful
70165,2495,"Sunday, December 15, 2024, 6:37:00 PM",25,45,451,Successful
70166,4828,"Sunday, May 12, 2024, 4:31:00 AM",27,67,816,Returned
70167,2558,"Monday, October 7, 2024, 7:49:00 PM",29,54,391,Successful
70168,5537,"Saturday, March 23, 2024, 4:45:00 AM",38,69,1063,Cancelled
70169,3502,"Friday, June 14, 2024, 3:19:00 AM",27,61,263,Successful
70170,4587,"Tuesday, February 6, 2024, 5:12:00 AM",26,69,507,Successful
70171,3529,"Thursday, July 11, 2024, 11:49:00 PM",31,66,606,Successful
70172,2397,"Wednesday, September 4, 2024, 12:42:00 AM",40,63,1016,Successful
70173,8372,"Wednesday, September 4, 2024, 8:55:00 AM",35,73,643,Successful
70174,2495,"Thursday, April 18, 2024, 3:55:00 PM",36,81,726,Successful
70175,4690,"Thursday, May 16, 2024, 11:25:00 PM",32,73,516,Cancelled
70176,4629,"Saturday, October 19, 2024, 8:53:00 AM",35,73,604,Successful
70177,4664,"Wednesday, April 10, 2024, 10:00:00 PM",34,71,722,Successful
70178,6468,"Wednesday, March 6, 2024, 5:31:00 PM",26,49,740,Successful
70179,6547,"Wednesday, June 26, 2024, 3:34:00 AM",31,61,832,Successful
70180,6422,"Monday, May 27, 2024, 12:13:00 AM",29,50,1147,Successful
70181,3468,"Wednesday, August 14, 2024, 8:45:00 PM",23,61,946,Successful
70182,8854,"Saturday, June 1, 2024, 10:21:00 PM",39,83,462,Successful
70183,4764,"Thursday, June 20, 2024, 6:32:00 AM",40,76,977,Successful
70184,2837,"Tuesday, June 25, 2024, 9:10:00 PM",23,49,210,Successful
70185,2207,"Tuesday, September 24, 2024, 4:51:00 PM",30,59,668,Successful
70186,5719,"Friday, December 13, 2024, 10:39:00 AM",39,65,688,Successful
70187,2615,"Sunday, October 13, 2024, 3:24:00 PM",24,67,1060,Returned
70188,4957,"Thursday, February 22, 2024, 11:35:00 PM",30,61,159,Successful
70189,1326,"Wednesday, December 25, 2024, 3:38:00 PM",33,60,218,Cancelled
70190,3904,"Monday, July 15, 2024, 8:22:00 PM",37,80,1018,Successful
70191,6707,"Sunday, August 4, 2024, 10:04:00 PM",37,58,806,Successful
70192,6418,"Friday, January 5, 2024, 11:11:00 AM",37,71,804,Successful
70193,6388,"Tuesday, April 2, 2024, 11:30:00 AM",25,52,182,Successful
70194,2438,"Friday, March 8, 2024, 12:04:00 AM",25,52,644,Successful
70195,3747,"Monday, March 25, 2024, 6:28:00 AM",27,69,346,Successful
70196,8681,"Friday, November 29, 2024, 7:28:00 AM",25,60,252,Successful
70197,8499,"Tuesday, April 9, 2024, 7:40:00 PM",34,55,629,Successful
70198,1513,"Monday, February 5, 2024, 4:35:00 PM",31,72,1021,Successful
70199,7582,"Thursday, January 11, 2024, 12:47:00 AM",29,60,842,Returned
70200,2285,"Saturday, December 21, 2024, 12:18:00 AM",21,55,665,Successful
70201,6797,"Friday, December 6, 2024, 5:42:00 PM",23,44,563,Successful
70202,5004,"Saturday, July 13, 2024, 4:00:00 PM",39,68,998,Successful
70203,3108,"Sunday, January 28, 2024, 11:25:00 PM",21,49,1059,Successful
70204,2325,"Saturday, March 2, 2024, 4:11:00 AM",35,73,988,Cancelled
70205,2038,"Monday, March 4, 2024, 3:46:00 AM",25,48,951,Successful
70206,6977,"Thursday, February 15, 2024, 2:31:00 PM",39,78,627,Successful
70207,6194,"Friday, June 28, 2024, 8:25:00 AM",31,52,187,Successful
70208,1400,"Friday, August 9, 2024, 2:41:00 AM",32,76,299,Successful
70209,7189,"Friday, March 29, 2024, 6:08:00 AM",21,41,725,Successful
70210,8916,"Sunday, January 14, 2024, 12:46:00 AM",25,70,175,Successful
70211,8741,"Sunday, June 2, 2024, 7:03:00 AM",40,72,803,Successful
70212,4525,"Thursday, October 31, 2024, 2:40:00 AM",27,64,1168,Cancelled
70213,5924,"Thursday, July 18, 2024, 8:00:00 AM",35,80,1096,Successful
70214,8028,"Wednesday, September 25, 2024, 9:00:00 AM",23,60,628,Successful
70215,6804,"Wednesday, June 5, 2024, 1:07:00 AM",31,68,304,Successful
70216,1187,"Saturday, May 25, 2024, 4:19:00 AM",36,61,1014,Successful
70217,1100,"Friday, February 23, 2024, 11:26:00 PM",23,45,1055,Successful
70218,5120,"Thursday, November 7, 2024, 6:53:00 AM",21,51,466,Successful
70219,7332,"Saturday, August 10, 2024, 3:44:00 PM",40,67,601,Successful
70220,3957,"Sunday, June 16, 2024, 12:45:00 PM",39,74,172,Successful
70221,4399,"Saturday, November 9, 2024, 9:45:00 AM",40,69,928,Successful
70222,3399,"Saturday, July 6, 2024, 5:06:00 PM",24,61,540,Successful
70223,6968,"Thursday, September 19, 2024, 10:08:00 PM",31,53,1166,Successful
70224,6000,"Wednesday, February 28, 2024, 4:15:00 AM",30,50,343,Successful
70225,7166,"Wednesday, October 9, 2024, 10:53:00 PM",21,51,371,Successful
70226,5244,"Saturday, April 6, 2024, 2:25:00 AM",38,78,1090,Successful
70227,4699,"Wednesday, December 18, 2024, 7:38:00 AM",33,55,696,Successful
70228,5357,"Wednesday, June 19, 2024, 8:42:00 PM",32,72,1144,Successful
70229,5751,"Saturday, May 25, 2024, 9:56:00 AM",27,52,892,Successful
70230,5235,"Tuesday, March 26, 2024, 2:41:00 PM",28,65,939,Returned
70231,2063,"Friday, January 19, 2024, 6:37:00 AM",25,48,857,Successful
70232,7564,"Thursday, June 13, 2024, 5:22:00 PM",20,49,907,Successful
70233,7244,"Wednesday, February 14, 2024, 6:38:00 PM",24,55,756,Successful
70234,2912,"Sunday, November 3, 2024, 2:29:00 PM",20,57,464,Successful
70235,6761,"Thursday, August 1, 2024, 1:02:00 PM",36,64,631,Successful
70236,8912,"Tuesday, March 26, 2024, 2:33:00 PM",25,62,333,Successful
70237,2563,"Wednesday, October 9, 2024, 10:58:00 PM",30,74,1003,Successful
70238,7632,"Wednesday, July 10, 2024, 11:19:00 AM",35,59,599,Successful
70239,4446,"Sunday, May 5, 2024, 1:18:00 PM",23,48,575,Successful
70240,5045,"Wednesday, June 5, 2024, 2:50:00 AM",34,77,189,Successful
70241,4248,"Friday, May 17, 2024, 4:42:00 AM",29,60,921,Successful
70242,5301,"Friday, September 13, 2024, 6:11:00 PM",30,58,514,Returned
70243,5490,"Sunday, June 16, 2024, 10:28:00 AM",39,82,382,Successful
70244,2582,"Wednesday, August 28, 2024, 5:13:00 AM",34,77,205,Successful
70245,3777,"Friday, July 19, 2024, 8:44:00 PM",21,41,998,Successful
70246,8678,"Thursday, May 16, 2024, 2:56:00 AM",27,71,216,Successful
70247,7936,"Thursday, April 25, 2024, 9:12:00 PM",27,71,1190,Successful
70248,8508,"Friday, October 11, 2024, 8:16:00 AM",31,62,1023,Successful
70249,3376,"Wednesday, October 2, 2024, 7:29:00 PM",37,57,744,Successful
70250,4787,"Wednesday, May 1, 2024, 3:46:00 PM",24,65,831,Successful
70251,7385,"Friday, March 22, 2024, 7:11:00 PM",30,50,251,Cancelled
70252,4517,"Sunday, June 16, 2024, 1:19:00 AM",38,62,537,Successful
70253,3664,"Monday, November 11, 2024, 5:43:00 AM",33,70,928,Successful
70254,1345,"Wednesday, October 16, 2024, 12:24:00 PM",23,46,1176,Successful
70255,5012,"Wednesday, February 14, 2024, 12:02:00 PM",20,65,296,Successful
70256,2327,"Wednesday, August 14, 2024, 6:34:00 AM",34,71,911,Cancelled
70257,8688,"Tuesday, January 2, 2024, 3:46:00 PM",32,65,831,Cancelled
70258,8122,"Wednesday, September 4, 2024, 11:45:00 PM",33,60,553,Returned
70259,8691,"Wednesday, January 31, 2024, 4:46:00 PM",28,63,442,Successful
70260,6860,"Sunday, April 7, 2024, 2:25:00 AM",38,66,757,Successful
70261,3841,"Friday, September 6, 2024, 3:55:00 PM",33,69,666,Successful
70262,2505,"Saturday, October 12, 2024, 3:27:00 PM",34,69,655,Successful
70263,1045,"Wednesday, October 16, 2024, 2:33:00 PM",29,56,608,Successful
70264,7460,"Wednesday, July 31, 2024, 8:59:00 PM",32,65,867,Successful
70265,5937,"Thursday, August 22, 2024, 1:57:00 AM",39,80,1107,Successful
70266,4761,"Thursday, July 11, 2024, 5:00:00 PM",20,43,844,Successful
70267,7661,"Saturday, November 2, 2024, 10:31:00 PM",20,54,688,Successful
70268,7732,"Wednesday, September 4, 2024, 4:25:00 PM",33,61,283,Successful
70269,1921,"Tuesday, December 10, 2024, 8:59:00 PM",36,79,899,Successful
70270,2318,"Saturday, August 31, 2024, 6:20:00 AM",31,68,819,Successful
70271,7740,"Thursday, December 19, 2024, 1:52:00 AM",20,61,405,Successful
70272,4163,"Monday, September 2, 2024, 5:20:00 PM",31,68,1121,Successful
70273,3070,"Wednesday, August 14, 2024, 5:16:00 PM",33,72,818,Successful
70274,4558,"Tuesday, August 6, 2024, 11:41:00 PM",20,41,473,Successful
70275,2386,"Tuesday, January 30, 2024, 12:23:00 PM",35,68,474,Successful
70276,2442,"Monday, October 21, 2024, 6:01:00 AM",24,54,985,Successful
70277,4227,"Thursday, January 18, 2024, 11:04:00 AM",40,82,665,Successful
70278,3904,"Tuesday, October 15, 2024, 4:51:00 PM",34,72,229,Successful
70279,1750,"Tuesday, August 6, 2024, 9:13:00 PM",23,67,974,Successful
70280,8386,"Friday, October 11, 2024, 6:39:00 PM",36,66,775,Successful
70281,7488,"Saturday, March 23, 2024, 2:08:00 PM",40,62,832,Successful
70282,3764,"Saturday, March 23, 2024, 4:31:00 PM",33,76,384,Successful
70283,6008,"Tuesday, January 2, 2024, 8:51:00 AM",37,62,546,Successful
70284,3154,"Tuesday, December 17, 2024, 2:56:00 AM",28,73,1084,Successful
70285,7411,"Thursday, September 19, 2024, 1:31:00 AM",37,67,1160,Successful
70286,3139,"Thursday, September 26, 2024, 10:20:00 PM",29,64,326,Successful
70287,8084,"Friday, January 26, 2024, 3:16:00 AM",32,53,546,Successful
70288,5344,"Thursday, October 17, 2024, 4:24:00 PM",27,51,172,Successful
70289,1671,"Tuesday, February 20, 2024, 6:41:00 AM",30,73,825,Returned
70290,3782,"Tuesday, April 16, 2024, 3:16:00 AM",26,71,266,Successful
70291,6535,"Tuesday, February 13, 2024, 7:07:00 AM",26,52,337,Cancelled
70292,3747,"Tuesday, August 6, 2024, 5:41:00 PM",29,66,187,Successful
70293,2132,"Thursday, September 5, 2024, 4:15:00 PM",35,69,538,Successful
70294,5285,"Thursday, December 26, 2024, 9:01:00 AM",23,58,255,Successful
70295,5338,"Friday, April 12, 2024, 12:56:00 AM",35,56,477,Successful
70296,7634,"Monday, September 30, 2024, 8:47:00 AM",35,77,307,Returned
70297,5567,"Saturday, July 13, 2024, 3:27:00 AM",26,61,419,Successful
70298,7891,"Tuesday, February 13, 2024, 8:19:00 PM",29,52,776,Successful
70299,5460,"Saturday, November 30, 2024, 6:09:00 AM",36,76,863,Successful
70300,6504,"Thursday, May 23, 2024, 7:15:00 AM",28,58,613,Cancelled
70301,1906,"Sunday, April 14, 2024, 4:12:00 PM",27,51,831,Successful
70302,2457,"Monday, October 7, 2024, 1:24:00 AM",40,61,892,Successful
70303,7201,"Sunday, March 3, 2024, 9:40:00 AM",25,62,307,Successful
70304,3640,"Thursday, July 4, 2024, 8:14:00 AM",25,68,599,Successful
70305,5569,"Sunday, July 28, 2024, 4:21:00 AM",25,65,1128,Successful
70306,3094,"Sunday, October 27, 2024, 8:57:00 AM",20,41,842,Successful
70307,6409,"Tuesday, January 9, 2024, 11:02:00 AM",23,64,814,Successful
70308,4138,"Saturday, January 20, 2024, 1:27:00 AM",33,56,424,Cancelled
70309,5659,"Wednesday, March 20, 2024, 12:05:00 AM",23,66,1078,Successful
70310,1319,"Friday, August 30, 2024, 3:01:00 PM",38,68,465,Successful
70311,4760,"Friday, March 29, 2024, 1:51:00 AM",20,53,447,Successful
70312,5408,"Monday, September 2, 2024, 11:18:00 AM",26,50,593,Returned
70313,5824,"Wednesday, February 28, 2024, 6:59:00 AM",36,64,999,Successful
70314,2583,"Thursday, February 22, 2024, 1:50:00 PM",23,57,504,Returned
70315,6385,"Sunday, November 10, 2024, 3:43:00 PM",21,42,955,Successful
70316,6850,"Monday, January 8, 2024, 11:27:00 PM",22,65,278,Successful
70317,3624,"Wednesday, June 19, 2024, 5:18:00 AM",20,40,367,Successful
70318,3726,"Tuesday, October 1, 2024, 2:13:00 AM",28,48,675,Successful
70319,3413,"Friday, September 6, 2024, 12:32:00 PM",40,69,927,Successful
70320,1959,"Saturday, June 29, 2024, 8:51:00 AM",22,66,227,Successful
70321,1285,"Tuesday, January 16, 2024, 9:55:00 PM",29,69,400,Successful
70322,6557,"Thursday, July 25, 2024, 2:57:00 PM",23,64,422,Successful
70323,7828,"Wednesday, January 24, 2024, 3:23:00 PM",23,58,494,Successful
70324,2317,"Tuesday, March 19, 2024, 2:49:00 AM",32,74,1075,Successful
70325,6205,"Friday, February 9, 2024, 12:02:00 PM",40,65,1056,Successful
70326,2086,"Sunday, October 20, 2024, 6:54:00 AM",20,62,1074,Successful
70327,6686,"Wednesday, April 10, 2024, 8:19:00 PM",34,73,601,Successful
70328,4120,"Saturday, April 13, 2024, 10:49:00 PM",37,69,750,Successful
70329,5741,"Monday, June 24, 2024, 8:27:00 PM",32,59,222,Successful
70330,1837,"Friday, January 5, 2024, 4:48:00 AM",34,59,393,Successful
70331,3905,"Wednesday, November 27, 2024, 8:41:00 AM",26,58,860,Successful
70332,4371,"Thursday, May 2, 2024, 5:21:00 PM",33,53,926,Returned
70333,7233,"Wednesday, September 18, 2024, 5:59:00 PM",23,53,486,Successful
70334,4281,"Friday, October 4, 2024, 2:46:00 PM",26,66,523,Cancelled
70335,8396,"Tuesday, September 3, 2024, 7:40:00 PM",21,53,1161,Successful
70336,8471,"Friday, October 11, 2024, 2:46:00 PM",34,55,1075,Successful
70337,3574,"Saturday, November 23, 2024, 6:21:00 PM",34,74,187,Successful
70338,2702,"Monday, July 1, 2024, 6:35:00 PM",26,65,633,Successful
70339,4519,"Tuesday, May 14, 2024, 4:59:00 PM",25,55,842,Successful
70340,7097,"Wednesday, December 25, 2024, 3:01:00 PM",24,57,1028,Successful
70341,3664,"Sunday, June 30, 2024, 11:05:00 PM",21,52,420,Successful
70342,4363,"Sunday, February 25, 2024, 4:25:00 PM",30,74,701,Successful
70343,6664,"Sunday, December 1, 2024, 3:50:00 AM",26,67,516,Successful
